AccountNumber	FinalChecksum	RawChecksum
03720010000	5	6
03720010001	3	8
03720010002	1	10
03720010003	-1	1
03720010004	8	3
03720010005	6	5
03720010006	4	7
03720010007	2	9
03720010008	0	0
03720010009	9	2
03720010010	1	10
03720010011	-1	1
03720010012	8	3
03720010013	6	5
03720010014	4	7
03720010015	2	9
03720010016	0	0
03720010017	9	2
03720010018	7	4
03720010019	5	6
03720010020	8	3
03720010021	6	5
03720010022	4	7
03720010023	2	9
03720010024	0	0
03720010025	9	2
03720010026	7	4
03720010027	5	6
03720010028	3	8
03720010029	1	10
03720010030	4	7
03720010031	2	9
03720010032	0	0
03720010033	9	2
03720010034	7	4
03720010035	5	6
03720010036	3	8
03720010037	1	10
03720010038	-1	1
03720010039	8	3
03720010040	0	0
03720010041	9	2
03720010042	7	4
03720010043	5	6
03720010044	3	8
03720010045	1	10
03720010046	-1	1
03720010047	8	3
03720010048	6	5
03720010049	4	7
03720010050	7	4
03720010051	5	6
03720010052	3	8
03720010053	1	10
03720010054	-1	1
03720010055	8	3
03720010056	6	5
03720010057	4	7
03720010058	2	9
03720010059	0	0
03720010060	3	8
03720010061	1	10
03720010062	-1	1
03720010063	8	3
03720010064	6	5
03720010065	4	7
03720010066	2	9
03720010067	0	0
03720010068	9	2
03720010069	7	4
03720010070	-1	1
03720010071	8	3
03720010072	6	5
03720010073	4	7
03720010074	2	9
03720010075	0	0
03720010076	9	2
03720010077	7	4
03720010078	5	6
03720010079	3	8
03720010080	6	5
03720010081	4	7
03720010082	2	9
03720010083	0	0
03720010084	9	2
03720010085	7	4
03720010086	5	6
03720010087	3	8
03720010088	1	10
03720010089	-1	1
03720010090	2	9
03720010091	0	0
03720010092	9	2
03720010093	7	4
03720010094	5	6
03720010095	3	8
03720010096	1	10
03720010097	-1	1
03720010098	8	3
03720010099	6	5
03720010100	8	3
03720010101	6	5
03720010102	4	7
03720010103	2	9
03720010104	0	0
03720010105	9	2
03720010106	7	4
03720010107	5	6
03720010108	3	8
03720010109	1	10
03720010110	4	7
03720010111	2	9
03720010112	0	0
03720010113	9	2
03720010114	7	4
03720010115	5	6
03720010116	3	8
03720010117	1	10
03720010118	-1	1
03720010119	8	3
03720010120	0	0
03720010121	9	2
03720010122	7	4
03720010123	5	6
03720010124	3	8
03720010125	1	10
03720010126	-1	1
03720010127	8	3
03720010128	6	5
03720010129	4	7
03720010130	7	4
03720010131	5	6
03720010132	3	8
03720010133	1	10
03720010134	-1	1
03720010135	8	3
03720010136	6	5
03720010137	4	7
03720010138	2	9
03720010139	0	0
03720010140	3	8
03720010141	1	10
03720010142	-1	1
03720010143	8	3
03720010144	6	5
03720010145	4	7
03720010146	2	9
03720010147	0	0
03720010148	9	2
03720010149	7	4
03720010150	-1	1
03720010151	8	3
03720010152	6	5
03720010153	4	7
03720010154	2	9
03720010155	0	0
03720010156	9	2
03720010157	7	4
03720010158	5	6
03720010159	3	8
03720010160	6	5
03720010161	4	7
03720010162	2	9
03720010163	0	0
03720010164	9	2
03720010165	7	4
03720010166	5	6
03720010167	3	8
03720010168	1	10
03720010169	-1	1
03720010170	2	9
03720010171	0	0
03720010172	9	2
03720010173	7	4
03720010174	5	6
03720010175	3	8
03720010176	1	10
03720010177	-1	1
03720010178	8	3
03720010179	6	5
03720010180	9	2
03720010181	7	4
03720010182	5	6
03720010183	3	8
03720010184	1	10
03720010185	-1	1
03720010186	8	3
03720010187	6	5
03720010188	4	7
03720010189	2	9
03720010190	5	6
03720010191	3	8
03720010192	1	10
03720010193	-1	1
03720010194	8	3
03720010195	6	5
03720010196	4	7
03720010197	2	9
03720010198	0	0
03720010199	9	2
03720010200	0	0
03720010201	9	2
03720010202	7	4
03720010203	5	6
03720010204	3	8
03720010205	1	10
03720010206	-1	1
03720010207	8	3
03720010208	6	5
03720010209	4	7
03720010210	7	4
03720010211	5	6
03720010212	3	8
03720010213	1	10
03720010214	-1	1
03720010215	8	3
03720010216	6	5
03720010217	4	7
03720010218	2	9
03720010219	0	0
03720010220	3	8
03720010221	1	10
03720010222	-1	1
03720010223	8	3
03720010224	6	5
03720010225	4	7
03720010226	2	9
03720010227	0	0
03720010228	9	2
03720010229	7	4
03720010230	-1	1
03720010231	8	3
03720010232	6	5
03720010233	4	7
03720010234	2	9
03720010235	0	0
03720010236	9	2
03720010237	7	4
03720010238	5	6
03720010239	3	8
03720010240	6	5
03720010241	4	7
03720010242	2	9
03720010243	0	0
03720010244	9	2
03720010245	7	4
03720010246	5	6
03720010247	3	8
03720010248	1	10
03720010249	-1	1
03720010250	2	9
03720010251	0	0
03720010252	9	2
03720010253	7	4
03720010254	5	6
03720010255	3	8
03720010256	1	10
03720010257	-1	1
03720010258	8	3
